Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Latin America & Caribbean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93818.8155535905,,,,,,,,,,113330.884733181,,,,,,,,,,,,,,,133009.186360598,,,,,,,,
Least developed countries: UN classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85982.0455904184,,,,,,,,,,103897.462576362,,,,,,,,,,,,,,,131134.616690616,,,,,,,,
Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30458.3811390671,,,,,,,,,,40588.9024099333,,,,,,,,,,,,,,,56582.7359338639,,,,,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.8682018407,,,,,,,,,,32.3760868274,,,,,,,,,,,,,,,38.3559506517,,,,,,,,
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2517.5845284628,,,,,,,,,,3035.13508699,,,,,,,,,,,,,,,3627.830500845,,,,,,,,
Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340096.90386087,,,,,,,,,,425753.518289458,,,,,,,,,,,,,,,547404.08291666,,,,,,,,
Low & middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,933198.451004718,,,,,,,,,,1136501.03762192,,,,,,,,,,,,,,,1389858.92406647,,,,,,,,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.607617298,,,,,,,,,,231.5941755232,,,,,,,,,,,,,,,249.9415822788,,,,,,,,
Late-demographic dividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,553685.662183294,,,,,,,,,,654515.766162938,,,,,,,,,,,,,,,762627.502286344,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1187.72445591401,,,,,,,,,,1242.43317353756,,,,,,,,,,,,,,,1185.85017138378,,,,,,,,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.0335327125,,,,,,,,,,208.0600101873,,,,,,,,,,,,,,,283.4979814884,,,,,,,,
